uths,caladan,caladan-simdreg,caladan-simdreg-custom,native
1,0.719874,0.719982,0.720122,0.504787
2,0.724663,0.73511,0.727216,0.504787
4,0.727009,0.73716,0.729552,0.504787
6,0.726597,0.737231,0.729161,0.504787
8,0.725683,0.740002,0.728219,0.504787
10,0.727552,0.740756,0.731764,0.504787
12,0.730233,0.74344,0.73273,0.504787
16,0.730968,0.748851,0.733222,0.504787
20,0.732272,0.78132,0.737048,0.504787
24,0.737213,0.8236,0.743137,0.504787
28,0.73907,0.828861,0.757221,0.504787
32,0.744933,0.831406,0.793314,0.504787
40,0.790638,0.836873,0.821609,0.504787
48,0.807855,0.838573,0.828281,0.504787
56,0.822089,0.836495,0.829701,0.504787
64,0.827707,0.839764,0.823795,0.504787
