uths,caladan,caladan-simdreg,caladan-simdreg-custom,native
1,0.0809501,0.0807148,0.0808182,0.0214479
2,0.0854216,0.101372,0.089048,0.0214479
4,0.0937868,0.107711,0.0973537,0.0214479
6,0.0927612,0.107742,0.0966937,0.0214479
8,0.0922714,0.106637,0.0956861,0.0214479
10,0.0874838,0.101762,0.0908661,0.0214479
12,0.0873978,0.102507,0.0907892,0.0214479
16,0.0869307,0.10584,0.0904719,0.0214479
20,0.0902166,0.119036,0.0940084,0.0214479
24,0.0896668,0.126694,0.0943786,0.0214479
28,0.0895551,0.132353,0.0964418,0.0214479
32,0.0891071,0.133999,0.102048,0.0214479
40,0.107823,0.148687,0.121847,0.0214479
48,0.110745,0.148653,0.122007,0.0214479
56,0.112101,0.148433,0.122629,0.0214479
64,0.112668,0.150128,0.122616,0.0214479
