timeslice,execution_time,#preemptions,overhead
baseline,3.582359296,0,
10ms,3.610998528,361,79.33305263157945
5ms,3.611451648,722,40.294116343490515
1ms,3.613523968,3611,8.63048241484355
500us,3.615705856,7224,4.616079734219272
100us,3.635194368,36282,1.4562337247119825
50us,3.6599616,72867,1.064985576461224
20us,3.731875328,184312,0.8112115977255968
10us,3.8505216,375502,0.7141434772651013
7us,3.938945024,548842,0.6497056129086335
5us,4.061609472,791941,0.6051589398705205
3us,4.378363392,1420824,0.5602411670974026
1us,7.126267392,6878003,0.5152524789535567
