timeslice,execution_time,#preemptions,overhead
baseline,1.795741184,0,
10ms,1.796150016,179,2.2839776536311183
5ms,1.796556032,359,2.2697715877439837
1ms,1.797368832,1796,0.9062628062361626
500us,1.798409472,3594,0.7424284919309858
100us,1.807444736,18045,0.6485758935993445
50us,1.819505152,36235,0.655829115496071
20us,1.854211328,91603,0.6382994443413444
10us,1.913600256,186680,0.6313427898007291
7us,1.957031936,272773,0.5913002826526085
5us,2.01745152,393556,0.5633514315624711
3us,2.1736,706183,0.5350720932109666
1us,3.539969024,3424228,0.5093784175586439
