timeslice,execution_time,#preemptions,overhead
baseline,7.153156352,0,
10ms,7.1857856,718,45.44463509749319
5ms,7.183972608,1436,21.459788300835992
1ms,7.189822464,7156,5.123827836780298
500us,7.196411136,14290,3.0269268019594233
100us,7.232520448,71691,1.1070301153561806
50us,7.282312192,143972,0.8970899897202244
20us,7.328452096,359374,0.48778081886836683
10us,7.501128448,726414,0.47902724341766584
7us,7.71693952,1067941,0.5279160253234968
5us,7.991980544,1548229,0.5417959436233268
3us,8.594394368,2773425,0.5196599929689824
1us,13.633009664,13179991,0.4916432273739792
