timeslice,execution_time,#preemptions,overhead
baseline,3.871435776,0,
10ms,3.914740736,390,111.03835897435884
5ms,3.922475264,781,65.35145710627376
1ms,3.974661632,3950,26.133128101265797
500us,3.998893824,7943,16.046587939065823
100us,4.014834176,39837,3.5996284860807717
50us,4.045419776,80071,2.1728715764758766
20us,4.135571968,203064,1.3007534176417268
10us,4.276462336,414669,0.9767466581779675
7us,4.380136192,606926,0.8381588793361957
5us,4.531296256,878673,0.7509738890349422
3us,4.90290816,1583095,0.6515543185974307
1us,8.164253184,7784483,0.5514582545815823
