timeslice,execution_time,#preemptions,overhead
baseline,4.413420544,0,
10ms,4.483834624,447,157.5259060402683
5ms,4.493485312,894,89.55790604026816
1ms,4.558447872,4525,32.05023823204426
500us,4.606770944,9133,21.170524471696037
100us,4.621117696,45739,4.540920264981738
50us,4.652238592,91845,2.6002291687081467
20us,4.72724864,231520,1.3555118175535588
10us,4.874286848,471408,0.9776378508637945
7us,4.99427328,690322,0.8414228954024351
5us,5.149358848,996143,0.7387878085776843
3us,5.600119808,1804736,0.657547288910954
1us,9.14454912,8743774,0.541085414147255
