timeslice,execution_time,#preemptions,overhead
baseline,2.059386624,0,
10ms,2.05783168,204,-7.622274509803934
5ms,2.0607552,408,3.35435294117636
1ms,2.062830336,2040,1.6880941176471345
500us,2.063088896,4077,0.9080873191071747
100us,2.076684032,20495,0.843981849231526
50us,2.094383616,41235,0.8487205529283364
20us,2.132384256,104157,0.7008423053659367
10us,2.200924672,212341,0.6665601461799658
7us,2.248934656,310009,0.6114275133947719
5us,2.317810432,447420,0.577586625541996
3us,2.498258432,802738,0.5467186155383201
1us,4.259812352,4006372,0.5492315062106065
