timeslice,execution_time,#preemptions,overhead
baseline,1.2300224,0,
10ms,1.230039552,123,0.13944715447216074
5ms,1.229810688,245,-0.8641306122450226
1ms,1.229355776,1229,-0.5424117168429203
500us,1.230066944,2459,0.01811468076457533
100us,1.236579072,12353,0.5307756820205696
50us,1.244676352,24802,0.5908375131037807
20us,1.26909184,62735,0.6227694269546507
10us,1.311896832,128055,0.6393692710163601
7us,1.34173696,187127,0.5969986159132569
5us,1.382957056,269960,0.566508579048748
3us,1.490171648,484665,0.5367609544737088
1us,2.453919232,2393542,0.5113329250123875
