timeslice,execution_time,#preemptions,overhead
baseline,2.650736384,0,
10ms,2.669591296,266,70.88312781954929
5ms,2.669204992,533,34.650296435272146
1ms,2.670766592,2670,7.501950561797792
500us,2.672424192,5340,4.061387265917568
100us,2.683900928,26794,1.237760095543775
50us,2.698719232,53740,0.89287026423521
20us,2.742635008,135490,0.6782686840357234
10us,2.813428224,274460,0.5927706769656778
7us,2.86497408,399282,0.5365573604620296
5us,2.930985472,571562,0.490321413949843
3us,3.11307136,1011099,0.4572598489366522
1us,4.4162112,4270138,0.4134467822819778
