timeslice,execution_time,#preemptions,overhead
baseline,2.635412992,0,
10ms,2.636230144,263,3.1070418250958545
5ms,2.633494272,526,-3.647756653992261
1ms,2.641238528,2628,2.216718417047234
500us,2.640427264,5243,0.956374594697679
100us,2.66473344,26406,1.1103706733318184
50us,2.677618432,52919,0.7975479506415473
20us,2.717779968,133236,0.618203608634302
10us,2.774654208,268599,0.5183981176400502
7us,2.82615168,390918,0.4879250584521566
5us,2.900639744,561534,0.4723253658727696
3us,3.086257152,994899,0.4531557072627472
1us,4.355032576,4197886,0.4096394194601759
