timeslice,execution_time,#preemptions,overhead
baseline,3.341869568,0,
10ms,3.409948928,339,200.82407079646026
5ms,3.419016192,679,113.61800294550817
1ms,3.487375104,3451,42.16329643581569
500us,3.54845696,7021,29.42421193562175
100us,3.5283712,34865,5.3492508819733295
50us,3.530269696,69580,2.7076764587525157
20us,3.55400832,173776,1.2207597827087744
10us,3.65460096,352926,0.8861103800796764
7us,3.737980672,515716,0.7680799199559448
5us,3.85620224,744534,0.6908115304338017
3us,4.168327936,1340557,0.6165037130088463
1us,6.429350912,6099682,0.50617086989125
