timeslice,execution_time,#preemptions,overhead
baseline,2.865440256,0,
10ms,2.869770496,286,15.14069930070022
5ms,2.86893696,571,6.123824868651908
1ms,2.872771072,2856,2.5668123249299977
500us,2.874321408,5712,1.554823529411814
100us,2.884627712,28641,0.6699296812262159
50us,2.900111872,57433,0.603688053906295
20us,2.949801472,144922,0.5821146271787584
10us,3.032356608,294005,0.5677330385537672
7us,3.129921792,433495,0.6101143865557858
5us,3.209170432,621846,0.5527577181488668
3us,3.41434112,1102424,0.4979035870046372
1us,4.912863232,4705891,0.435076582946779
