timeslice,execution_time,#preemptions,overhead
baseline,7.135109888,0,
10ms,7.2335168,723,136.10914522821665
1ms,7.238316544,7233,14.268858841421295
100us,7.282133504,72663,2.023362866933656
50us,7.335755264,145996,1.3743210498917822
20us,7.484809472,369531,0.9463335525301005
10us,7.776707584,758160,0.846256325841512
5us,8.23043072,1604682,0.682578125759496
4us,8.453874944,2059531,0.6403229939243454
3us,8.972631552,2914190,0.6305428486131651
2us,10.055068672,4891213,0.5969805003380555
1us,15.76854656,15186275,0.5685025901348423
