timeslice,execution_time,#preemptions,overhead
baseline,3.566556672,0,
10ms,3.59610112,359,82.29651253481956
1ms,3.598984704,3598,9.012793774319034
100us,3.620902656,36151,1.5033051367873707
50us,3.65804928,72825,1.2563351596292516
20us,3.735362048,184475,0.9150582788995794
10us,3.833816064,374016,0.7145667351129368
5us,4.10870528,801435,0.6764723377441711
4us,4.169012992,1016285,0.5928025307861475
3us,4.427232768,1439073,0.5980767452380802
2us,4.971318784,2421193,0.5801941902194497
1us,7.790477824,7543475,0.5599436800678732
