timeslice,execution_time,#preemptions,overhead
baseline,3.63470208,0,
10ms,3.669020416,358,95.8612737430171
1ms,3.687143168,3585,14.627918549511893
100us,3.693696,35832,1.646403215003356
50us,3.723472384,72051,1.2320481880889937
20us,3.81405568,183197,0.9790203988056585
10us,4.000002816,379666,0.9621634173194346
5us,4.265260032,810977,0.7775287733190951
4us,4.391681024,1043924,0.7251284039834323
3us,4.634913024,1470116,0.6803619197396671
2us,5.170389504,2458758,0.6245785164705109
1us,8.144800768,7730724,0.5833992635101188
