timeslice,execution_time,#preemptions,overhead
baseline,4.603254016,0,
10ms,4.641780736,457,84.30354485776833
1ms,4.684145152,4574,17.68498819414079
100us,4.704182784,45765,2.2053702174150587
50us,4.733500416,91870,1.4177250462610196
20us,4.846506752,233426,1.0420978639911562
10us,5.081289728,483598,0.9884981162039538
5us,5.454206976,1038868,0.8191155757998128
4us,5.630149632,1340997,0.7657702560110128
3us,5.886471168,1872490,0.6852998691581795
2us,6.623206144,3161236,0.6389754285981812
1us,10.42666752,9926618,0.5866462781180862
