timeslice,execution_time,#preemptions,overhead
baseline,2.761744896,0,
10ms,2.772891648,277,40.240981949457414
1ms,2.77605888,2766,5.174976138828534
100us,2.793154304,27732,1.1326052214048763
50us,2.81546752,55758,0.9634962516589497
20us,2.869550592,140968,0.7647529652119615
10us,2.965174016,287656,0.7071958172261312
5us,3.153163008,611713,0.6398721491941479
4us,3.266231808,791786,0.6371505836172905
3us,3.396144384,1098037,0.5777578424042175
2us,3.812846336,1847843,0.5688261610970193
1us,5.715141376,5519308,0.535102675915169
