timeslice,execution_time,#preemptions,overhead
baseline,3.444040704,0,
10ms,3.451126784,345,20.539362318840887
1ms,3.459529216,3458,4.479037593984997
100us,3.480681728,34762,1.054053966975437
50us,3.501466368,69754,0.8232597987212225
20us,3.579408384,176893,0.7652517623648213
10us,3.687366144,359862,0.6761631958917584
5us,3.936401408,768099,0.6410120362088745
4us,4.032883968,983471,0.5987398347282231
3us,4.275387136,1390442,0.5979008344109283
2us,4.737107456,2309219,0.5599584760042251
1us,7.64045696,7420373,0.565526322733372
