timeslice,execution_time,#preemptions,overhead
baseline,1.791426816,0,
10ms,1.79149312,179,0.370413407821014
1ms,1.792735232,1792,0.7301428571429073
100us,1.80377216,18010,0.685471626873964
50us,1.816247552,36175,0.686129536973051
20us,1.855012352,91654,0.693756257228271
10us,1.919884032,187314,0.6857854511675578
5us,2.045871872,399122,0.6375119787934521
4us,2.097437696,511375,0.5984079784893671
3us,2.193858048,713217,0.5642479525866603
2us,2.438746112,1187876,0.5449384413861379
1us,3.946663424,3827743,0.5630567694853077
