timeslice,execution_time,#preemptions,overhead
baseline,5.522715136,0,
10ms,5.749483264,550,412.3056872727269
1ms,5.819494144,5504,53.92060465116273
100us,5.903892224,55712,6.841920735209639
50us,5.943478272,111891,3.760473460778791
20us,6.110897152,285663,2.0590066476932587
10us,6.397414912,591663,1.4783749803519908
5us,6.862893312,1271851,1.0537226263139308
4us,7.247334656,1681002,1.0259473337925828
3us,7.815047936,2422403,0.9463053009759316
2us,9.026875648,4210812,0.8321816580744997
1us,14.867336704,13965049,0.6691434858552948
