timeslice,execution_time,#preemptions,overhead
baseline,3.696050944,0,
10ms,3.754635008,359,163.18680779944333
1ms,3.762528,3555,18.699593811533077
100us,3.805945856,35873,3.0634435926741594
50us,3.81813888,71788,1.7006733158745164
20us,3.91325696,182641,1.1892511320021244
10us,4.095087104,378092,1.055394348465453
5us,4.404905472,815326,0.8694123920983757
4us,4.620689152,1070577,0.8636821153452762
3us,4.92543488,1525025,0.806140185242865
2us,5.62481536,2619012,0.7364473381565263
1us,8.822639104,8263577,0.620383661942038
