timeslice,execution_time,#preemptions,overhead
baseline,3.510713856,0,
10ms,3.523901696,344,38.3367441860454
1ms,3.539346688,3437,8.330762874599941
100us,3.568407808,34591,1.6678891041022148
50us,3.589558528,69413,1.1358776021782633
20us,3.69341952,177279,1.0306108676154524
10us,3.861578496,366283,0.9579058815178421
5us,4.095394304,777354,0.752141814411452
4us,4.220527872,1001498,0.7087523050470392
3us,4.406619904,1395222,0.6421243701719154
2us,4.92048768,2339321,0.6026423154411044
1us,7.246967552,6905526,0.5410527302337287
