timeslice,execution_time,#preemptions,overhead
baseline,1.859703552,0,
10ms,1.860927744,178,6.877483146067488
1ms,1.860955648,1758,0.7122275312855406
100us,1.872447744,17651,0.7220096311823686
50us,1.884699136,35441,0.705273101774781
20us,1.91886592,89559,0.6605965676258105
10us,1.99605248,184169,0.7403467901764134
5us,2.106707456,389326,0.6344397856808948
4us,2.17978624,503797,0.6353405994874917
3us,2.281156608,703752,0.5988658732053335
2us,2.505481216,1161368,0.5560491282694203
1us,4.088217856,3829344,0.5819571978908137
