timeslice,execution_time,#preemptions,overhead
baseline,2.819277824,0,
10ms,2.8442624,276,90.52382608695665
1ms,2.858704384,2748,14.347365356623119
100us,2.866945024,27410,1.739044144472829
50us,2.88661376,55053,1.2231111111111128
20us,2.950866176,139678,0.9420835922622036
10us,3.054358784,285711,0.8227928221174555
5us,3.2821184,614876,0.7527380740181762
4us,3.442829312,806747,0.7729207397114589
3us,3.574992384,1118322,0.6757575725059511
2us,3.97955456,1869691,0.6205713863948642
1us,6.484717568,6132486,0.5977086199626057
