timeslice,execution_time,#preemptions,overhead
baseline,3.912186368,0,
10ms,3.9530048,395,103.33780253164561
1ms,3.958469632,3903,11.858381757622325
100us,3.98974976,39064,1.9855465902109375
50us,4.01652096,78405,1.3307135004145179
20us,4.097976832,198682,0.9351147260446324
10us,4.24745984,406225,0.8253393365745593
5us,4.561569024,873073,0.7437896441649207
4us,4.730877184,1133162,0.7224834719131067
3us,4.976755968,1590031,0.6695275752485329
2us,5.607311104,2686263,0.631034539804926
1us,9.11578752,8734293,0.5957667268547092
