timeslice,execution_time,#preemptions,overhead
baseline,2.92918272,0,
10ms,2.949178624,294,68.01327891156447
1ms,2.954430208,2916,8.65826063100129
100us,2.972199424,29150,1.4757016809605419
50us,2.993496832,58535,1.098729170581702
20us,3.065377536,148445,0.9174766142342292
10us,3.18522368,304720,0.8402499343659753
5us,3.40000384,650840,0.7234053223526521
4us,3.486682112,834205,0.6683002283611342
3us,3.708510208,1184386,0.6580012664790025
2us,4.170961664,2000883,0.6206154702698758
1us,6.73409152,6461303,0.588876392269485
