timeslice,execution_time,#preemptions,overhead
baseline,1.95611904,0,
10ms,1.96274944,196,33.82857142857218
1ms,1.966425344,1942,5.307056642636451
100us,1.977345792,19398,1.0942752861119711
50us,1.991721216,38957,0.9138839233000499
20us,2.033142528,98636,0.7808861673222761
10us,2.104238848,201681,0.7344261878907786
5us,2.235931392,428640,0.6527910414333706
4us,2.311315456,553988,0.6411626533426718
3us,2.414041344,771703,0.5933918929951033
2us,2.700046336,1295261,0.5743454763171285
1us,4.233165056,4056395,0.5613472100226925
