timeslice,execution_time,#preemptions,overhead
baseline,2.632237568,0,
10ms,2.640134656,264,29.91321212121211
1ms,2.642336,2633,3.835333080136702
100us,2.658081024,26378,0.9797352339070454
50us,2.675550464,52952,0.8179652515485764
20us,2.734251776,134247,0.7598993497061383
10us,2.83358208,274742,0.7328494078080523
5us,2.993100288,580355,0.6217965210948473
4us,3.090230528,748972,0.6114954364115085
3us,3.240705536,1047405,0.5809290274535641
2us,3.595963392,1743065,0.5528915008906724
1us,5.529590016,5364611,0.5400862146388621
