timeslice,execution_time,#preemptions,overhead
baseline,0.973128704,0,
10ms,0.97318016,97,0.5304742268041781
1ms,0.974046208,963,0.9527559709242092
100us,0.979917312,9635,0.7045778930980829
50us,0.986640384,19348,0.6983502170767018
20us,1.012712192,49074,0.8066081428047439
10us,1.044941056,100027,0.7179296789866749
5us,1.103854592,211356,0.6185104184409247
4us,1.149833216,275208,0.6420762187145723
3us,1.199332352,382971,0.5906547702045329
2us,1.342449664,643587,0.5738477626179525
1us,2.192650496,2108225,0.5784590316498477
