timeslice,execution_time,#preemptions,overhead
baseline,2.386096896,0,
10ms,2.385957376,238,-0.5862184873961414
5ms,2.386236416,477,0.2924947589095127
1ms,2.38658688,2376,0.20622222222208159
500us,2.388164864,4747,0.43563682325678865
100us,2.400162816,23810,0.5907568248634915
50us,2.413692672,47753,0.5778857035160017
20us,2.407799808,118149,0.18369103420257346
10us,2.447381504,237143,0.2584289141994484
7us,2.494210304,345340,0.31306367058550966
5us,2.56318976,496833,0.3564434407537342
3us,2.76639744,893559,0.42560205201894874
1us,4.475167744,4334239,0.481992536175324
