timeslice,execution_time,#preemptions,overhead
baseline,4.97665536,0,
10ms,4.976879872,497,0.4517344064385403
1ms,4.979928832,4978,0.657587786259553
100us,5.011296512,50063,0.6919511815113103
50us,5.042882304,100494,0.6590139112782881
20us,5.15014784,254613,0.6813967864955842
10us,5.335115008,520857,0.6882112518407167
5us,5.60217216,1093574,0.5719931161494336
4us,5.841221888,1425110,0.6066665225842216
3us,6.12673408,1993596,0.5768865507354553
2us,6.707999744,3272506,0.5290576652877034
1us,10.805542656,10542898,0.5528733462089835
