timeslice,execution_time,#preemptions,overhead
baseline,3.317823744,0,
10ms,3.318028544,331,0.6187311178251238
1ms,3.320129024,3319,0.6945706538113451
100us,3.34021376,33368,0.6710026372572562
50us,3.362301952,67003,0.663824127277885
20us,3.434177024,169772,0.6853502344320606
10us,3.541915392,345780,0.6480757938573658
5us,3.763485184,734635,0.6066433535020791
4us,3.864426752,942729,0.5798092643803257
3us,4.091298816,1331242,0.5810176301528949
2us,4.554991104,2222153,0.5567426545336888
1us,7.410775552,7230323,0.566081461091019
