timeslice,execution_time,#preemptions,overhead
baseline,1.658924288,0,
10ms,1.659114752,165,1.1543272727279534
1ms,1.660023552,1659,0.6626063893912262
100us,1.670524928,16687,0.6951902678732045
50us,1.681068544,33498,0.6610620335542429
20us,1.71454208,84758,0.6561951910144181
10us,1.775805952,173352,0.6742446813420099
5us,1.876916224,366357,0.5950259883119471
4us,1.930058752,470840,0.5758526548296665
3us,2.030794752,660745,0.5628048097223587
2us,2.275726336,1110137,0.5556089455625748
1us,3.698314496,3607051,0.5653899010576785
