timeslice,execution_time,#preemptions,overhead
baseline,2.557413888,0,
10ms,2.562630144,256,20.375999999999035
5ms,2.563125504,512,11.155499999999408
1ms,2.564271616,2563,2.675664455715939
500us,2.565617664,5127,1.6001123464013602
100us,2.5763264,25731,0.7350088220434493
50us,2.589670656,51593,0.6252159789118656
20us,2.631023616,130042,0.5660458005874998
10us,2.697521664,263309,0.532104014674773
7us,2.745363456,382820,0.4909606812601225
5us,2.812064256,548805,0.4640088337387598
3us,2.972923904,966822,0.42976888817176256
1us,4.217460224,4099943,0.40489497927166296
