timeslice,execution_time,#preemptions,overhead
baseline,1.330372352,0,
10ms,1.330487296,133,0.8642406015046371
5ms,1.330598144,266,0.8488421052637931
1ms,1.331199744,1330,0.6220992481204127
500us,1.33189504,2661,0.5722239759489309
100us,1.337429504,13354,0.5284672757226307
50us,1.34448512,26777,0.5270481383276755
20us,1.365851392,67486,0.5257244465518777
10us,1.400452864,136645,0.5128655420981383
7us,1.425800192,198743,0.4801569866611662
5us,1.459871488,284800,0.4547020224719107
3us,1.546488064,502718,0.4298945174033954
1us,2.181452288,2114891,0.4024226005028156
