timeslice,execution_time,#preemptions,overhead
baseline,2.530389248,0,
10ms,2.531201024,253,3.2086007905135605
5ms,2.533531648,506,6.210276679841438
1ms,2.546061824,2532,6.189800947867318
500us,2.5375936,5039,1.4297185949593223
100us,2.556078592,25326,1.014346679301899
50us,2.567987712,50748,0.7408856309608216
20us,2.608134144,127860,0.6080470514625372
10us,2.665235968,258051,0.5225584089966716
7us,2.717637888,375924,0.4981023823964417
5us,2.782774272,538792,0.4684275638836509
3us,2.953010176,952986,0.4434702377579521
1us,4.202666496,4067143,0.4111675561936229
