timeslice,execution_time,#preemptions,overhead
baseline,4.271011584,0,
10ms,4.341205504,434,161.73714285714365
5ms,4.348743168,867,89.6558062283741
1ms,4.377380864,4341,24.50340474545036
500us,4.4068544,8729,15.562242639477633
100us,4.470529792,44208,4.51316974303293
50us,4.491367936,88586,2.4874850653602105
20us,4.571679232,223707,1.344024317522474
10us,4.625571328,446944,0.7932979165175063
7us,4.725901312,652288,0.6973755886970179
5us,4.8706432,940654,0.637462463349967
3us,5.21660288,1679094,0.5631556637091193
1us,7.618710784,7278210,0.4599618862330161
