timeslice,execution_time,#preemptions,overhead
baseline,2.93604736,0,
10ms,2.947146496,294,37.752163265305775
5ms,2.950195712,588,24.061823129252225
1ms,2.979040256,2944,14.603565217391418
500us,3.008010752,5936,12.123212938005432
100us,3.08404224,30388,4.8701750691062315
50us,3.110379264,61122,2.852195674225323
20us,3.167890944,154425,1.5013345248502503
10us,3.247168512,312631,0.995170510921822
7us,3.3220352,456909,0.8447805580542302
5us,3.4231488,658720,0.7394666018945835
3us,3.634033408,1164883,0.5991898310817483
1us,5.31304192,5062933,0.469489633775521
