timeslice,execution_time,#preemptions,overhead
baseline,6.603939328,0,
10ms,6.919465472,689,457.94795936139286
5ms,6.938687744,1377,243.0997937545389
1ms,7.111075584,7038,72.05687070190393
500us,7.259743744,14365,45.65293532892444
100us,7.60707328,75194,13.340611644546104
50us,7.779109376,153412,7.660222459781504
20us,7.928965376,387938,3.4155613732091203
10us,8.254793728,797756,2.069372590115272
7us,8.519808768,1175936,1.6292293458147389
5us,8.854552576,1709824,1.3162835753855366
3us,9.571668992,3079733,0.9636321278500439
1us,14.739815936,14012058,0.5806339517007423
