timeslice,execution_time,#preemptions,overhead
baseline,4.969968896,0,
10ms,5.131891968,511,316.8748962817995
5ms,5.141912832,1021,168.4073809990205
1ms,5.253683712,5201,54.55005114401073
500us,5.414193408,10711,41.47367304640089
100us,5.531758592,54671,10.275826233286384
50us,5.5895552,110200,5.622380254083487
20us,5.637436416,275712,2.4208867223769723
10us,5.821062144,562309,1.5135686037392249
7us,6.001885952,828419,1.245646292516227
5us,6.196285696,1196921,1.0245595156238383
3us,6.736810752,2168262,0.8148654802786749
1us,10.462294016,9936168,0.55276089534718
