trial,1-exe,1-uintr,2-exe,2-uintr,3-exe,3-uintr,4-exe,4-uintr,5-exe,5-uintr,6-exe,6-uintr,7-exe,7-uintr,8-exe,8-uintr,9-exe,9-uintr,10-exe,10-uintr,11-exe,11-uintr,12-exe,12-uintr,13-exe,13-uintr,14-exe,14-uintr,15-exe,15-uintr,16-exe,16-uintr
1,1.468253696,142996,3.1847616,309679,5.251871232,510633,7.488721664,728181,9.780914944,951150,12.151883776,1181381,14.495560448,1409389,16.810672128,1634734,19.407756544,1886400,21.771856896,2116334,24.231863296,2355115,26.835080704,2608040,29.21596032,2839898,31.776686848,3088278,34.501997312,3353076,37.011315968,3596867
2,1.470864128,143268,3.181227008,309373,5.261548032,511565,7.478976512,727143,9.789897216,951865,12.09092864,1175692,14.473134592,1407226,16.810095104,1634909,19.401754368,1885920,21.831803136,2122228,24.263401472,2358226,26.71473664,2596570,29.15542784,2834127,31.794697728,3090276,34.399978496,3343296,37.078354688,3603458
3,1.472491776,143427,3.195060224,310633,5.249399808,510376,7.49226496,728459,9.78440576,951304,12.158251776,1182046,14.51013248,1410673,16.865119232,1639727,19.382539264,1884071,21.840935168,2122950,24.34989184,2366445,26.759222016,2600689,29.157752064,2834624,31.806654976,3091158,34.082240256,3313472,37.032241152,3598901
4,1.473280768,143498,3.186665728,309906,5.265687296,511926,7.49747456,728931,9.820726016,954861,12.1323072,1179514,14.469111808,1406805,16.850557184,1638502,19.375571456,1883289,21.870462208,2125863,24.28301184,2360167,26.737729024,2598777,29.104229632,2829362,31.731683072,3084371,34.158925312,3320439,36.991991552,3595238
5,1.464235264,142686,3.180021248,309198,5.235963648,509106,7.456599296,724986,9.760351232,949037,12.121412864,1178417,14.479876096,1407837,16.802636288,1633843,19.369477888,1882767,21.774034432,2116262,24.245238272,2356496,26.765451008,2601276,29.194347008,2837643,31.640235264,3075395,34.363973632,3339898,37.007008256,3596517
6,1.46565248,142826,3.181648896,309338,5.238237184,509298,7.460855552,725415,9.77062272,949930,12.089129728,1175392,14.471103232,1406902,16.760800512,1630042,19.342117632,1880103,21.787848704,2117699,24.1613248,2348765,26.72834048,2597748,29.148219904,2833252,31.5613888,3068040,34.365795584,3339879,37.029683968,3598476
7,1.466756608,142930,3.178419712,309086,5.238407936,509285,7.471360256,726285,9.771967744,950083,12.084249856,1174925,14.477949696,1407543,16.790973952,1632641,19.380117504,1883665,21.743650816,2113550,24.345021696,2365658,26.75115776,2599606,29.182249216,2836373,31.67197184,3078585,34.402978048,3343210,36.957600512,3591595
8,1.465737216,142819,3.185301504,309699,5.243404544,509730,7.463394816,725512,9.781084416,950849,12.126880768,1178948,14.432518656,1403105,16.795218944,1632921,19.36908416,1882588,21.794982144,2118300,24.27089664,2358922,26.74262144,2599091,29.125117696,2830923,31.772149248,3087979,34.050752512,3310344,36.992692992,3595172
9,1.468212736,143069,3.189654784,310126,5.243874816,509800,7.4637568,725609,9.766210048,949457,12.09398528,1175808,14.466468608,1406293,16.824226816,1635873,19.396978176,1885081,21.827456,2121314,24.234422016,2355359,26.743425792,2599262,29.33984768,2851231,31.789955328,3089653,34.021827328,3307104,37.077956352,3603222
10,1.465306624,142783,3.18345472,309521,5.239606784,509386,7.459176448,725147,9.76161536,948977,12.089626368,1175358,14.454297088,1405169,16.764036608,1630195,19.385097216,1884140,21.809129472,2119441,24.231085568,2355016,26.757458688,2600456,29.165129216,2834680,31.671974144,3078315,34.180440064,3322536,37.008932096,3596538
11,1.469854464,143233,3.188134912,309977,5.242000128,509606,7.46114816,725334,9.770035968,949815,12.117901312,1178083,14.49251712,1408663,16.827344128,1636152,19.379845888,1883601,21.664743936,2106123,24.32604672,2363984,26.700738816,2595010,29.06147968,2825279,31.775086336,3088027,34.113333248,3315949,36.8926784,3585596
12,1.465893888,142844,3.182509312,309439,5.243891456,509804,7.460347136,725261,9.765440256,949370,12.095897344,1176093,14.45022208,1404969,16.785494272,1632015,19.305389056,1876546,21.689906432,2108235,24.319932928,2363445,26.716569856,2596478,29.184404736,2836411,31.673453312,3078470,34.084037376,3313205,36.899303936,3586143
13,1.464962048,142748,3.191887104,310327,5.246855168,510080,7.474907904,726630,9.789332992,951669,12.092578048,1175621,14.476211968,1407188,16.798917632,1633604,19.372356864,1882903,21.754425088,2114436,24.228004352,2354585,26.6941952,2594667,29.231340032,2840968,31.747041792,3085574,34.430052096,3345937,36.956037888,3591672
14,1.46542976,142799,3.181196544,309319,5.246620928,510096,7.46972928,726173,9.7754176,950303,12.10802176,1177083,14.493431552,1408950,16.843394048,1637472,19.408095488,1886401,21.806844416,2119636,24.19664128,2351872,26.651546112,2590897,29.256769536,2843558,31.748099584,3085547,34.408993536,3343961,37.057074176,3601142
15,1.465997568,142852,3.188187392,309980,5.240649984,509474,7.469709056,726120,9.78753664,951494,12.093358848,1175796,14.466740224,1406403,16.799171072,1633613,19.385491456,1884147,21.79481216,2118164,24.21174272,2353054,26.695450624,2594698,29.188583936,2836717,31.666547968,3077825,34.148519936,3319378,37.01319808,3596908
16,1.464751104,142741,3.190244608,310183,5.24258304,509690,7.464839424,725725,9.756430592,948449,12.08774656,1175141,14.396574208,1399660,16.782433024,1631733,19.377515264,1883163,21.76435712,2115520,24.33827072,2365213,26.60845056,2586541,29.173148672,2835499,31.696421632,3080762,34.154598912,3319975,37.024748032,3598158
17,1.466906624,142931,3.183012864,309482,5.241549568,509597,7.462905344,725547,9.776829952,950448,12.141494528,1180447,14.462454016,1405943,16.770751744,1630836,19.370809856,1882509,21.82725632,2121258,24.211239936,2353118,26.701256192,2595102,29.135239424,2831929,31.763194624,3086872,34.167264,3321240,37.055053824,3600956
18,1.465084928,142753,3.184058112,309585,5.244673792,509865,7.461548032,725342,9.77060608,949830,12.101469952,1176464,14.460037376,1405895,16.769521152,1630482,19.38600064,1883961,21.785635072,2117336,24.247845376,2356549,26.706025984,2595811,29.182209024,2836345,31.711172352,3082133,34.405662464,3343582,36.854299392,3582265
19,1.466161408,142862,3.182867456,309457,5.245953536,509998,7.473975808,726514,9.778272,950575,12.097968128,1176173,14.45300352,1405150,16.769657856,1630462,19.384827648,1883847,21.83938816,2122464,24.335166976,2364931,26.73566848,2598372,29.129036032,2831330,31.671567872,3078335,34.151522304,3319782,37.00923136,3596494
20,1.464871168,142739,3.18430592,309610,5.248208896,510226,7.468911104,726021,9.779862272,950769,12.089627648,1175363,14.427461376,1402704,16.848636416,1638043,19.405124608,1885798,21.669025792,2106512,24.28704384,2360512,26.794822656,2603702,29.162565888,2834698,31.797671168,3090173,34.13999872,3318522,37.024589312,3598088
21,1.466434304,142886,3.185342976,309706,5.24865664,510269,7.474792704,726638,9.78420608,951230,12.095404032,1176000,14.492461568,1409011,16.785067264,1632274,19.286878976,1874945,21.759140096,2114885,24.364452096,2367736,26.701507072,2595241,29.143975424,2832819,31.631114496,3074541,34.21555968,3325780,36.908547072,3587069
