trial,1-exe,1-uintr,2-exe,2-uintr,3-exe,3-uintr,4-exe,4-uintr,5-exe,5-uintr,6-exe,6-uintr,7-exe,7-uintr,8-exe,8-uintr,9-exe,9-uintr,10-exe,10-uintr,11-exe,11-uintr,12-exe,12-uintr,13-exe,13-uintr,14-exe,14-uintr,15-exe,15-uintr,16-exe,16-uintr
1,1.470336768,143185,3.178743296,309058,5.24803456,510422,7.446770944,724136,9.755812352,948567,12.113666816,1177818,14.42519424,1402657,16.854016512,1638853,19.263721984,1872769,21.65641088,2105561,24.16871296,2349353,26.819143424,2606435,29.124608,2831012,31.939369984,3103853,34.380892928,3341273,36.985366016,3594293
2,1.464224768,142644,3.172446464,308432,5.238912512,509407,7.435639552,723020,9.723482112,945612,12.006571776,1167789,14.320243456,1392737,16.737149696,1627675,19.255421184,1871975,21.776150272,2116648,24.184039168,2350620,26.815325184,2606009,29.271768576,2844764,31.649530624,3076794,34.18624384,3323040,36.978016512,3593913
3,1.462958848,142528,3.172844032,308475,5.248973312,510386,7.440021248,723428,9.745141504,947786,12.035625216,1170621,14.519759872,1411624,16.819089152,1635448,19.385218304,1884367,21.796852992,2118727,24.12445952,2345382,26.7778496,2602401,29.163446272,2834884,31.875569152,3097729,34.242976,3328452,36.635666688,3561679
4,1.465590272,142787,3.169218048,308124,5.250713088,510667,7.432219136,722704,9.738916096,946981,12.081784064,1174732,14.449684992,1405056,16.835902976,1637229,19.294065408,1875782,21.737059584,2113295,24.104544768,2343620,26.572948992,2583405,29.229174528,2840945,31.56065536,3068559,34.243446016,3328974,36.772037888,3574773
5,1.465292544,142758,3.171441664,308334,5.250013184,510492,7.435998464,723026,9.741886976,947410,11.997618944,1166919,14.324207616,1393215,16.796109568,1633176,19.36134656,1881966,21.61536768,2101666,24.334043904,2364423,26.73393664,2598055,29.400589568,2857494,31.915620864,3101214,34.29863296,3333393,36.79364608,3576186
6,1.465662208,142835,3.167593728,308015,5.243172096,509912,7.473350144,726740,9.714921472,944735,12.076529408,1174142,14.34237312,1394666,16.817037056,1635075,19.20195328,1866819,21.609788672,2100959,24.16682112,2348933,26.767035392,2601237,29.15771136,2834198,31.897483264,3099572,34.268433664,3330630,37.024773376,3598024
7,1.468065024,143072,3.16330368,307594,5.243656448,509989,7.422319616,721764,9.732411904,946493,12.003608832,1167473,14.477715712,1407571,16.741768704,1627630,19.29354496,1875564,21.768220928,2115760,24.31604992,2362853,26.625050624,2588138,29.053372928,2824540,31.962795008,3105948,34.507910912,3353388,37.000924672,3595799
8,1.467111936,142979,3.182304256,309432,5.24939648,510547,7.43220992,722768,9.752329728,948450,12.040741632,1170991,14.421750272,1402439,16.825018624,1635885,19.274367488,1873730,21.743512832,2113399,24.134019584,2345928,26.770772992,2601580,29.11355904,2830117,31.843136,3093991,34.246925824,3328689,36.855817472,3582326
9,1.470642688,143317,3.167589888,308020,5.238691072,509514,7.424196352,721922,9.743938048,947362,12.086853632,1175124,14.354621696,1395937,16.830389248,1636090,19.259484416,1872211,21.709264896,2110008,24.130505984,2345642,26.587401216,2584322,29.255824128,2843177,31.595191552,3071087,34.315475456,3335176,36.945479936,3590447
10,1.468973312,143158,3.165533696,307798,5.225671936,508124,7.422635776,721775,9.728480768,946081,12.086084352,1175053,14.427371776,1402729,16.836168448,1636957,19.276171264,1873887,21.754838272,2114524,24.299049472,2361146,26.76432384,2600973,29.157068544,2833943,31.896241408,3099390,34.325230848,3336211,36.962896384,3592090
