trial,1-exe,1-uintr,2-exe,2-uintr,3-exe,3-uintr,4-exe,4-uintr,5-exe,5-uintr,6-exe,6-uintr,7-exe,7-uintr,8-exe,8-uintr,9-exe,9-uintr,10-exe,10-uintr,11-exe,11-uintr,12-exe,12-uintr,13-exe,13-uintr,14-exe,14-uintr,15-exe,15-uintr,16-exe,16-uintr
1,2.62643712,251576,5.429798656,520336,8.485943808,813798,11.849665792,1137211,16.003778048,1536896,19.571214848,1880661,22.045549824,2117657,27.747731712,2670214,30.636750848,2946899,33.709188352,3241976,40.168795136,3868191,42.983708928,4138514,47.856284672,4608888,52.027218432,5011640,55.705516288,5365647,64.073974528,6178262
2,2.62505216,251433,5.030660352,481573,8.27973632,793723,11.871660032,1139196,15.707922432,1508460,19.708216832,1894397,23.871286272,2296255,25.744898304,2474280,31.407010816,3022655,34.465861376,3316268,40.580941568,3908476,42.571783936,4098274,48.791764736,4700206,52.647179776,5071751,57.628896512,5553928,63.32286592,6105238
3,2.631657216,252109,5.488159232,525977,8.501597696,815263,12.303635456,1186320,16.044622592,1541741,20.10310144,1933049,21.975546112,2111403,27.37995648,2634182,31.668768256,3048319,35.505294336,3416226,37.594239488,3617034,42.605346048,4101536,49.263008768,4746448,51.658243328,4975347,57.590812928,5550397,62.879530752,6060257
4,2.627647744,251649,5.42495744,519858,8.287296256,794493,11.651800064,1117691,16.193521152,1556213,20.3015424,1952371,23.030673152,2214603,27.637016832,2658673,31.742820096,3055406,33.011431168,3174090,39.650201344,3817159,45.95308416,4428523,49.27288192,4747717,53.708466176,5174072,58.06439552,5596347,62.37021312,6011081
5,2.6271744,251653,5.04056448,482666,8.287718144,794539,11.951921664,1147286,15.389313536,1477645,18.867493376,1812438,23.112055296,2222628,27.027269888,2599695,31.648363776,3046214,34.45418496,3315296,39.771033088,3829116,43.515424512,4190480,49.062115328,4727091,52.768909824,5083782,59.217524736,5707950,62.522995456,6025214
6,2.624217856,251369,5.371048448,514764,8.66463616,831234,11.349111552,1088373,16.196401408,1556230,19.777556224,1900425,23.740809472,2283012,26.44315136,2541547,30.134924032,2897101,35.282624,3394956,39.82528128,3833490,44.741081088,4309313,46.456034304,4472489,53.805867776,5184098,59.117877248,5698559,63.846140416,6155907
7,2.625744384,251505,5.364318976,514115,8.66527104,831338,12.01532544,1153398,16.09582848,1547004,19.97558784,1920440,23.09786368,2220339,27.835226624,2678380,31.279598336,3009665,36.128153088,3478156,39.327035136,3786088,43.612503552,4199205,50.096230144,4827736,54.546234112,5257117,58.35224832,5622629,63.120805888,6083833
8,2.624390912,251365,5.366299904,514215,8.535453952,818648,12.015915776,1153493,16.207829504,1557972,19.653225216,1888862,23.946317824,2303368,27.797212416,2674098,31.346931968,3015081,37.361855744,3598343,40.254613504,3874698,45.490277888,4381834,49.896558336,4807441,53.646376704,5169514,59.080721408,5693926,64.759408896,6243642
9,2.62790144,251719,5.359146496,513586,8.6335168,828180,11.57914368,1110769,16.325233664,1568774,19.691670272,1892614,22.682884096,2180090,26.123432448,2510313,31.954325248,3074650,35.39629184,3406838,39.076900096,3759736,43.169769472,4155840,48.757927936,4696769,54.245964032,5227702,59.97696768,5781197,62.685033728,6040874
10,2.62561664,251502,5.055562496,484124,8.276151296,793288,12.114599168,1163144,15.976230912,1534894,19.222316288,1847158,23.11411072,2222370,25.909508352,2490161,31.220189696,3004564,33.27651968,3199427,39.7378752,3826224,40.768948736,3922107,49.087483904,4729315,53.123835904,5118404,57.77006464,5566816,60.922574592,5870155
11,2.628134144,251712,5.039634944,482447,8.493404416,814645,12.030066176,1154867,15.93643392,1531162,20.065536512,1929030,22.887768832,2199871,27.600052992,2654985,30.201071104,2904837,33.85473536,3256178,39.014418688,3755707,43.362962432,4175550,50.013649408,4819107,52.879145472,5093408,58.008543488,5591088,64.776189184,6245379
