trial,1-exe,1-uintr,2-exe,2-uintr,3-exe,3-uintr,4-exe,4-uintr,5-exe,5-uintr,6-exe,6-uintr,7-exe,7-uintr,8-exe,8-uintr,9-exe,9-uintr,10-exe,10-uintr,11-exe,11-uintr,12-exe,12-uintr,13-exe,13-uintr,14-exe,14-uintr,15-exe,15-uintr,16-exe,16-uintr
1,2.620013056,250990,5.494548992,526706,8.673362944,832186,12.507096064,1201421,16.027736576,1539473,19.320657152,1856179,22.85753728,2196676,27.728271872,2667964,32.377560576,3116120,34.803465984,3348958,37.864166656,3642939,43.496393984,4188408,49.192649472,4739106,53.20123648,5125903,59.755391744,5760146,62.50186624,6023234
2,2.624237056,251362,5.420949504,519526,8.539455488,819051,11.695674624,1122383,16.200150784,1557315,20.005166848,1923602,23.14328704,2224870,28.0593216,2700300,30.625737216,2946044,34.139353856,3284058,40.028088064,3852743,45.040330752,4339305,48.539097856,4674927,53.886180352,5191790,57.984653312,5588234,63.352378368,6107697
3,2.620909312,251051,5.423203584,519697,8.67424512,832283,12.052828416,1157249,16.17393536,1554835,20.076379648,1930378,23.600716032,2269505,27.753979904,2669530,29.814914816,2866333,35.514428416,3418497,41.128678912,3961996,44.641638912,4299949,50.717417728,4888410,55.027646464,5303671,58.175225856,5606149,64.175564032,6186729
4,2.625846016,251519,5.4280576,520180,8.499467776,815187,11.354259968,1089356,16.366221056,1572629,19.640304128,1887400,23.85280896,2294226,27.946488576,2688057,31.006372608,2983338,35.884665856,3454398,40.99097856,3948383,45.645729024,4397308,49.274517248,4747630,54.409042944,5243418,59.781436416,5762356,63.951184384,6164561
5,2.6251648,251413,5.489695232,526164,8.684715776,833272,12.414273536,1192490,16.358619392,1572086,18.975369216,1823225,22.993293568,2210116,27.703332608,2666069,31.152193024,2996737,35.09337984,3377255,38.990441472,3752596,44.008774144,4237086,49.088095744,4729864,53.663835136,5171511,59.306253056,5716467,64.34308352,6203526
6,2.625779968,251516,5.44259328,521524,8.294614016,795163,12.084448256,1160378,16.19677824,1557091,20.028253952,1925793,23.721198592,2281476,28.119279616,2705625,31.82657792,3062539,37.255304704,3587963,37.378550016,3596165,43.610563584,4198331,49.126207488,4732819,54.53464448,5255363,56.817092608,5473872,62.347118336,6009458
7,2.631939072,252116,5.421613312,519620,8.3181568,797487,12.038398976,1155833,16.381482752,1574889,19.596785152,1883774,23.452548096,2255484,28.14649984,2708984,30.0541504,2889250,35.483812096,3414676,41.151447552,3964110,43.650333696,4203393,49.617400576,4780941,51.665419776,4975770,57.482694912,5537963,62.752326144,6047856
8,2.62851712,251773,5.4235904,519779,8.55609856,820727,12.038077952,1155705,16.39595264,1576611,19.110479616,1835649,23.69753344,2278857,27.766761216,2670717,31.061936128,2987956,35.41050624,3408457,41.157990656,3964676,43.092091392,4149152,48.079777024,4630526,55.153609472,5314917,58.516997376,5640201,63.509495296,6121932
9,2.6236352,251281,5.393407488,516935,8.837288448,848284,12.056016896,1157556,15.675800064,1505898,19.233565952,1848053,22.929990912,2203673,27.965361152,2689950,31.073474048,2990174,36.522323456,3515378,37.96235392,3653252,42.861693184,4124638,50.072321536,4825417,54.456982784,5248120,58.238291712,5611420,64.080096768,6177797
10,2.626807296,251616,5.459021824,523175,8.669359104,831724,11.551331072,1107967,16.339295488,1570321,19.972551168,1920328,23.391880704,2249169,27.778779392,2672520,31.393521408,3020226,36.188809728,3484486,39.77750016,3829278,42.678379264,4108481,49.235344896,4742373,52.430419456,5050835,59.657076736,5749503,62.033859072,5977389
11,2.622759936,251206,5.435245312,520885,8.546792192,819742,12.21151232,1172125,16.079229952,1544297,20.055874304,1928454,23.55774464,2264838,28.033329152,2696592,32.274601472,3106173,33.532228096,3224871,41.73831296,4020726,44.294052608,4264450,49.6447744,4782399,54.93395072,5294537,59.231213824,5709239,63.741174272,6143672
