timeslice,execution_time,#preemptions,overhead
baseline,4.178869504,0,
10ms,4.192969472,419,33.651474940334175
5ms,4.193903872,838,17.940773269690027
1ms,4.1966592,4187,4.248792930499249
500us,4.19978112,8368,2.49899808795414
100us,4.221800704,42000,1.0221714285714274
50us,4.250388736,84343,0.847956937742314
20us,4.298500864,211593,0.5653842991025247
10us,4.386770688,426395,0.4875788505962797
7us,4.47750272,621851,0.4802327502890575
5us,4.60670464,895395,0.4778172046973688
3us,4.960832768,1606463,0.48676083047041896
1us,8.023082752,7755830,0.4956546556590334
