timeslice,execution_time,#preemptions,overhead
baseline,9.536457728,0,
10ms,9.587148032,958,52.912634655532095
5ms,9.58953216,1917,27.686193009910774
1ms,9.596585984,9549,6.296811812755314
500us,9.604501504,19073,3.5675444869710935
100us,9.656717824,95701,1.256623190980231
50us,9.721099264,192143,0.9609589524468708
20us,9.781008384,479528,0.5099820156487201
10us,10.03599872,971659,0.5141114238637218
7us,10.336109568,1430023,0.5591880969746635
5us,10.731798784,2077909,0.5752615037520894
3us,11.704242944,3777404,0.5738822789407753
1us,18.318017536,17700790,0.4961111796705118
