timeslice,execution_time,#preemptions,overhead
baseline,4.770308096,0,
10ms,4.782074112,478,24.61509623430995
5ms,4.78063616,956,10.80341422594174
1ms,4.785106944,4762,3.10769592608145
500us,4.788846592,9518,1.9477301954191724
100us,4.813783296,47734,0.9107805756902939
50us,4.845862656,95836,0.7883734713468894
20us,4.867668736,238717,0.4078496294775813
10us,4.973696512,481723,0.422210307583404
7us,5.086109696,703902,0.4486442715037041
5us,5.202894336,1008029,0.4291406695640701
3us,5.58724096,1802967,0.45310472349188863
1us,9.048172032,8753629,0.4886960523458328
