timeslice,execution_time,#preemptions,overhead
baseline,6.212624128,0,
10ms,6.320515584,631,170.98487480190167
5ms,6.326230272,1260,90.16360634920655
1ms,6.402483968,6366,29.824040213635005
500us,6.4585024,12834,19.15835063113609
100us,6.500631552,64502,4.465092927351089
50us,6.546655744,129570,2.5780012039824025
20us,6.674615808,327702,1.4097920671829913
10us,6.889497088,667991,1.0132965264502065
7us,7.062609152,977636,0.86942893264978
5us,7.287195904,1411640,0.761222249298688
3us,7.919507456,2555429,0.66794394522407
1us,13.069247232,12518181,0.547733181362372
