timeslice,execution_time,#preemptions,overhead
baseline,8.156722176,0,
10ms,8.463588352,841,364.88249227110555
5ms,8.482887936,1681,194.03079119571598
1ms,8.645356032,8553,57.13011294282706
500us,8.667349504,17139,29.793297625299022
100us,9.185714176,90756,11.338005200758063
50us,9.407716864,185430,6.746452504988397
20us,9.648650752,471870,3.1617364443596743
10us,10.106864128,976344,1.9973922633825774
7us,10.494992384,1448784,1.6139536383615496
5us,10.58855168,2045458,1.1888924162705856
3us,12.041366272,3872244,1.0032023023342536
1us,22.33038848,21145780,0.670283446815393
