timeslice,execution_time,#preemptions,overhead
baseline,6.118375424,0,
10ms,6.33698816,630,347.0043428571426
5ms,6.361971456,1261,193.1768691514672
1ms,6.504344064,6430,60.02622706065315
500us,6.663766272,13175,41.39588979127137
100us,6.805170944,67217,10.217586622431831
50us,6.898494976,135935,5.738916040754775
20us,7.009518848,342640,2.6008155031519964
10us,7.320741888,706853,1.7010134554143503
7us,7.556047872,1042283,1.3793494166171758
5us,7.883497472,1521670,1.1599900425190748
3us,8.665313024,2784975,0.9145279939676297
1us,15.489801728,14623051,0.6408666908157539
