timeslice,execution_time,#preemptions,overhead
baseline,4.112630528,0,
10ms,4.177852416,415,157.16117590361432
5ms,4.188465152,830,91.36701686746945
1ms,4.273587712,4227,38.0783496569671
500us,4.325644288,8552,24.908063610851254
100us,4.278827008,42255,3.9331790320672106
50us,4.274049024,84185,1.9174258597137208
20us,4.320544768,211108,0.9848714402106981
10us,4.493286912,433625,0.8778469507062552
7us,4.641981696,640161,0.8269031821682356
5us,4.831546112,932561,0.7709046207164995
3us,5.40135296,1735575,0.7425334151505981
1us,9.525363712,8997308,0.6015947418939088
