timeslice,execution_time,#preemptions,overhead
baseline,2.460746496,0,
10ms,2.460170752,246,-2.3404227642287263
5ms,2.459712,491,-2.106916496944889
1ms,2.458623232,2458,-0.863817737998446
500us,2.459890432,4917,-0.1741029082774367
100us,2.473391104,24709,0.5117409850661703
50us,2.490465024,49628,0.5988258241315402
20us,2.540813056,125601,0.6374675360864971
10us,2.627090432,256444,0.6486559872720753
7us,2.681705728,374034,0.5907463813450108
5us,2.768177408,540384,0.5689119440990111
3us,2.983095552,970255,0.538362653116964
1us,4.920384,4799407,0.5124877935961673
