timeslice,execution_time,#preemptions,overhead
baseline,5.298120448,0,
10ms,5.39227904,539,174.69126530612303
5ms,5.389686272,1077,85.01933519034347
1ms,5.393319936,5387,17.672078708000825
500us,5.39744768,10775,9.218304593967542
100us,5.419845376,54051,2.2520384081700597
50us,5.450398976,108425,1.4044595619091547
20us,5.54015616,273409,0.8852514438076315
10us,5.688056064,554365,0.7033914767346436
7us,5.790180608,806050,0.6104586067861799
5us,5.931365632,1155318,0.5481133194497104
3us,6.281469952,2038441,0.4824027303218491
1us,8.950923776,8642536,0.42265410615587834
