timeslice,execution_time,#preemptions,overhead
baseline,3.978375424,0,
10ms,4.041011712,404,155.04031683168367
5ms,4.038424576,807,74.41034944237856
1ms,4.042599936,4038,15.905030212976724
500us,4.0457536,8077,8.341980438281547
100us,4.062354432,40511,2.0729927180272028
50us,4.086396928,81289,1.3288575822066933
20us,4.153252352,204969,0.8531872039186401
10us,4.261382656,415298,0.681455802821107
7us,4.337978368,603920,0.5954479798648823
5us,4.444244224,865661,0.5381654019298547
3us,4.710626048,1528748,0.4789871345702495
1us,6.699305984,6474701,0.4202403416003303
