timeslice,execution_time,#preemptions,overhead
baseline,5.246279168,0,
10ms,5.251612928,525,10.159542857143002
5ms,5.284467456,1055,36.197429383886
1ms,5.307674368,5228,11.743534812547775
500us,5.2734272,10362,2.6199606253619354
100us,5.407074048,52985,3.034724544682459
50us,5.436321792,106229,1.7889900497980793
20us,5.555120384,269333,1.1466891023379988
10us,5.246623488,501550,0.0006865118133784339
7us,5.500100352,751884,0.3375802437610051
5us,5.707044096,1092508,0.42174970618064095
3us,6.210356992,1982822,0.4862150127444624
1us,8.950941696,8568743,0.4323460895022758
