timeslice,execution_time,#preemptions,overhead
baseline,3.93394304,0,
10ms,3.945377536,394,29.02156345177697
5ms,3.946877952,789,16.39405830164761
1ms,3.971930368,3916,9.700543411644603
500us,3.981562624,7826,6.084792231024789
100us,4.015125504,39326,2.064345827188127
50us,4.050775808,79123,1.4765967923359842
20us,4.11890432,199630,0.9265204628562864
10us,4.025199872,384964,0.23705289845284236
7us,4.152851968,567643,0.3856454285528057
5us,4.336415232,830179,0.48480170180166
3us,4.642694912,1482134,0.47819689177901575
1us,6.604499968,6328689,0.421976325270526
