timeslice,execution_time,#preemptions,overhead
baseline,2.611460864,0,
10ms,2.625042944,262,51.839999999999776
5ms,2.635926784,527,46.42489563567347
1ms,2.638001152,2599,10.211730665640662
500us,2.642048768,5194,5.88908432807083
100us,2.669141248,26166,2.204402048459824
50us,2.683636992,52469,1.3755956469534338
20us,2.725916416,132212,0.8656971530572104
10us,2.767428096,265086,0.5883646514715981
7us,2.832195072,387655,0.5694089022455537
5us,2.908827392,557437,0.5334531579353361
3us,3.093477888,987426,0.48815508605201774
1us,4.371030528,4188473,0.4200981274082465
