timeslice,execution_time,#preemptions,overhead
baseline,1.30554496,0,
10ms,1.306409984,130,6.654030769231563
5ms,1.30914432,261,13.79065134099594
1ms,1.311771648,1294,4.81196908809886
500us,1.314362624,2586,3.409769528228905
100us,1.319309056,12936,1.064014842300561
50us,1.328749568,25984,0.8930344827586256
20us,1.346456064,65314,0.6263757234283628
10us,1.278163456,122267,-0.22394844070763212
7us,1.281792768,175077,-0.13566711789669628
5us,1.228937216,234607,-0.3265364801561757
3us,1.409815552,449530,0.23195469045447464
1us,2.119185408,2033203,0.40017669066984457
