timeslice,execution_time,#preemptions,overhead
baseline,5.499490816,0,
10ms,5.580423424,558,145.04051612903288
5ms,5.584573696,1114,76.37601436265696
1ms,5.625074432,5589,22.469782787618556
500us,5.652667136,11222,13.649645339511677
100us,5.699606016,56505,3.5415485355278284
50us,5.721716992,113137,1.9642219256299918
20us,5.82118656,285559,1.1265473825023913
10us,5.946043904,576026,0.7752307847215228
7us,6.075824896,840826,0.6854379859804532
5us,6.24850048,1210135,0.6189471951476487
3us,6.644206848,2144397,0.5338172138834366
1us,9.698121472,9312199,0.4508742409821784
