timeslice,execution_time,#preemptions,overhead
baseline,2.968204288,0,
10ms,3.000666624,300,108.20778666666679
5ms,3.004303104,598,60.36591304347822
1ms,3.045508608,3026,25.546701916721776
500us,3.112522752,6182,23.34494726625686
100us,3.123292416,30976,5.006719008264464
50us,3.138626304,62099,2.744360070210475
20us,3.192814848,156723,1.4331690945170772
10us,3.281073408,318088,0.9835929679837034
7us,3.344612864,463093,0.8128142209016337
5us,3.433850368,665064,0.7001522860957742
3us,3.65413632,1179313,0.5816369632150246
1us,5.276734464,5046841,0.4574208254232697
