timeslice,execution_time,#preemptions,overhead
baseline,1.670925312,0,
10ms,1.671307008,167,2.285604790419416
5ms,1.670872832,331,-0.15854984894299823
1ms,1.672446976,1653,0.9205468844524973
500us,1.673652992,3306,0.8250695704779221
100us,1.681224704,16592,0.6207444551591038
50us,1.68891392,33250,0.5410107669172938
20us,1.718280704,83924,0.5642651923168587
10us,1.765895424,170353,0.5574901058390516
7us,1.802266112,248389,0.5287705977317837
5us,1.850254336,356705,0.5027376235264436
3us,1.971179264,633176,0.4742029893742025
1us,2.831014912,2685120,0.43204385651293054
